,post,targetStereotype,targetMinority
2135,"Muslim invader are sub human
Kill them God Forgives you for your service to humanity","[""are terrorists"", ""are violent"", ""muslim people should be killed."", ""muslims are dangerous"", ""muslims are invaders."", ""muslims are subhuman."", ""muslims are subhumans""]","[""muslim folks""]"
2136,Muslim kids... They blow up so fast.,"[""blow up fast"", ""blow up things"", ""muslim people are violent."", ""muslims are all terrorists."", ""muslims are violent"", ""muslims bomb things""]","[""muslim folks"", ""muslim kids""]"
2137,Muslim women are so underprivileged They aren’t allowed to fly planes especially when the twins are collapsing from the heat,"[""muslim folks are oppressive"", ""muslim folks are terrorists"", ""muslim folks are violent"", ""muslims are terrorists"", ""muslims believe in violence"", ""muslims want to kill people""]","[""muslim folks""]"
2138,Muslims aren't terrorists They just want to die on their own terms but don't want to do it alone.,"[""muslim folks are killers"", ""muslim folks are terrorists"", ""muslim people are terrorists"", ""muslim people kill other people"", ""muslims are terrorists"", ""muslims are violent and selfish""]","[""muslim folks""]"
2142,My Instagram song ain't bout me postin pictures it's about how hoes not allowed to post pictures of me and I ain't posting none of them &#128076;,"[""post calls women names"", ""women just want attention""]","[""women""]"
2143,My Mom and I were in the store the other day... As usual she kept on tell me not to touch stuff i didn't intend to buy. I told her I knew that and that's why I was only touching the black people.,"[""black folks are objects"", ""black folks are property"", ""black people are slaves"", ""is inherently bad"", ""slavery is funny"", ""were slaves""]","[""black folks""]"
2149,My black friend gave me a pass to use the racial slur for black people towards him Yet when I called him a slave he decided that he was going to get offended...,"[""black people are lesser"", ""black people should be slaves"", ""blacks are less than human"", ""blacks are property""]","[""black folks""]"
2150,"My boyfriend is half black. Sorry, I’m such a pessimist. He’s half white.","[""black folks are second rate"", ""black folks aren't as good as whites"", ""black people aren't as good as white people"", ""it's a disappointment to be black"", ""not as good as whites"", ""not as worthy""]","[""black folks""]"
2152,My brother was my favorite vegetable After the car accident,"[""physically disabled folks are less then human"", ""physically disabled folks can't take care of themselves and move around""]","[""physically disabled folks""]"
2154,My dad has always told me back in his day you had to walk uphill both ways through a foot of snow to get to school That ain’t nothing. My generation has to walk through open fire.,"[""are marginalized for a joke""]","[""mass shooting victims""]"
2158,"My daughter has gotten to the age where she asks me embarrassing questions about sex. Just this morning she asked me ""is that the best you can do?""","[""jokes about child abuse""]","[""assault victims""]"
2159,"My daughter killed a butterfly so I said, “no butter for a month,” The next day she killed a cockroach. Nice try.","[""adults use them"", ""have sex""]","[""kids""]"
2160,My daughter said she wanted to see her siblings. So I cum on her eye.,"[""trivializes harm to victims.""]","[""assault victims, sexual abuse, incest victims""]"
2161,"My daughter said, 'Mom, I hate Mexicans!' I told her you can't judge all Mexicans because of one but, you can say they are all short.","[""all mexicans are short"", ""all mexicans look the same"", ""mexicans are small"", ""mexicans are worth hating on"", ""they are not human"", ""they are short""]","[""latino/latina folks"", ""mexicans""]"
2163,"My dick, your bitch on it.","[""women are promiscuous"", ""women cheat on their partners""]","[""women""]"
2169,My favourite sex position is the JFK I splatter all over her while she screams and tries to get out of the car.,"[""trivializes harm to victims""]","[""assault victims""]"
2170,My first time having sex was a lot like the 100 meter dash Nine black guys and a gun were involved,"[""are rapists"", ""are violent"", ""black folks are good at sports"", ""black folks run fast""]","[""black folks""]"
2171,"My friend asked me how many students are in my class and I said 27 and a half... He asked how can you have a half? 
And I replied ""one can't walk""","[""physically disabled folks are less than human"", ""physically disabled folks are not as intelligent"", ""physically disabled folks don't deserve the same rights as the able bodied""]","[""physically disabled folks""]"
2173,My friend married a cancer patient. Looks like he got himself a honeymoon.,"[""could die from their illness"", ""will die from their illness""]","[""folks with physical illness/disorder""]"
2179,"My girlfriend broke up with me for stealing her wheelchair 
I know she'll come crawling back eventually","[""crawling back"", ""is a burden to society"", ""makes fun of the inabilty to walk"", ""physically disabled folks are desperate"", ""physically disabled folks aren't capable without equipment""]","[""physically disabled folks""]"
2181,"My girlfriend called me a pedophile. I never knew 1 years old could talk.

Especially with a dick in the mouth.","[""children are raped"", ""children are targets of pedos""]","[""children""]"
2183,My girlfriend like to pretend she’s 13 when we’re in bed together Which I told her is weird and pointless since she’ll be 13 next year,"[""women are sex objects"", ""women are stupid""]","[""women""]"
2186,"My grandfather once told me, ""Your generation is too reliant on technology."" So I replied, ""No, your generation is too reliant on technology!""
Then I disconnected his life support.","[""old folks are on life support"", ""old folks don't deserve to live""]","[""old folks""]"
2187,My great grandfather died in Auschwitz. Fell off a guard tower.,"[""trivializes the holocaust""]","[""jewish folks""]"
2189,My humour is so dark that cops are beating it,"[""are beat by the police"", ""are victims of police violence"", ""black folks deserve police brutality."", ""black people are bad"", ""black people are criminals"", ""darker skin is worse when black."", ""trivializes harm to police brutality victims.""]","[""assault victims"", ""black folks""]"
2191,My jew friend said he wanted to be the very best like no one ever was So I called the Gestapo and made his wish come true.,"[""holocaust is funny"", ""jewish people were massacred"", ""jewish people were sent to concentration camps"", ""jews deserved to die in the holocaust"", ""jews lives don't matter"", ""jews should die""]","[""jewish folks""]"
2193,"My lil cousin be hating. Bitches always want the older nigga, not my fault nor did I fuck the bitch so chill..lol","[""nigga is less than"", ""nigga is slang for black"", ""women are bitches"", ""women are hoes""]","[""black folks"", ""women""]"
2195,"My name is Jafar
I come from afar
I have a bomb in my car
Allahu Akbar ","[""all muslim have car bombs."", ""all muslims are violent."", ""muslims are all terrorists"", ""muslims are violent"", ""muslims will make and use bombs""]","[""muslim folks""]"
2197,My phone is black I keep it locked when I'm not holding it,"[""black folks are criminals"", ""black folks will steal if something isn't locked up"", ""black people belong locked away"", ""black people should be locked up"", ""black people steal"", ""black people were once slaves""]","[""black folks""]"
2201,My sense of humor is a lot like food Not everybody gets it.,"[""poor folks are incompetent"", ""poor folks never have enough to eat""]","[""poor folks""]"
2202,My sense of humour is so dark It pays child support,"[""black fathers are not present in childrens lives"", ""black males are only good for child support"", ""black people abandon their kids"", ""black people are lazy""]","[""black folks""]"
2203,"My short time here has already blackpilled me IRL
I can't even watch porn without thinking about how disgustingly slutty the girls are, thanks guys..","[""promiscuous women are slutty"", ""women are disgusting."", ""women are only sex objects"", ""women are promiscuous"", ""women are sex objects"", ""women sleep around.""]","[""women""]"
