headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
Biden expected to nominate North Carolina environmental official to run EPA,"['biden cares about the climate', 'biden nomination for epa is from north carolina', 'biden will nominate north carolina environmental official to run the epa']",['feel curious'],['learn about nominee'],2.5,real,misinfo,2020-12-17,cnn,climate
Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,['the funding for climate change was low'],['feel happy'],['help combat climate change'],2.0,real,misinfo,2020-12-22,truthout,climate
"Punishing Companies For CO2 Emissions Won't Affect Temps, Climate","['punishing companies wont help climate change', 'punishing companies wont change the climate']","['feel curious', 'feel interest']","['know why', 'learn more']",2.0,disagreement,misinfo,2020-12-27,climatedepot,climate
Tips on How to Create a Healthy Hospital Working Environment,['unknown intent'],['feel curious'],['know more information'],2.0,real,misinfo,2020-11-23,consciouslifenews,climate
How significant is Biden's commitment to climate change?,"[""biden's motivation is in question"", 'biden may or may not be serious about tackling climate change']",['feel curious'],"['find out', 'read more information']",3.0,real,misinfo,2020-11-25,aljazeera,climate
The Dr. Fauci of Climate': Activist Penn State Prof. Michael Mann promoted for Climate Czar in Biden Admin.  Climate lockdowns coming?!,"['michael mann is promoted to deal with climate', 'climate lockdowns might be coming', 'michael mann is well qualified', 'michael mann is a climate czar']","['feel upset', 'feel fearful', 'feel outraged']",['want to protest'],2.0,disagreement,misinfo,2020-11-11,climatedepot,climate
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",['feel distressed'],['know what government officials are doing about climate change'],2.5,real,misinfo,2020-12-01,greenpeace,climate
"Eastern States Inching Toward New Regional Climate Pact That Could Cut Carbon Emissions, Raise Gas Prices","['governments are concluding talks on a new deal', 'cutting carbon emissions can raise gas prices']",['feel interested'],['read more'],2.0,real,misinfo,2020-12-18,thetennesseestar,climate
Joe Biden unlikely to cancel Trump's Space Force but could use NASA to help in climate crisis fight,['the president is taking climate change seriously'],"['feel fascinated', 'feel impressed']","['learn more about exciting scientific developments', 'support the president']",2.5,real,misinfo,2020-11-12,theindependent,climate
Biden must be our 'climate president'. He can start by ending pipeline projects | Faith Spotted Eagle and Kendall Mackey,['a change in government policy is necessary to save the environment'],['feel unsure'],['learn more'],2.0,real,misinfo,2020-12-23,theguardian,climate
John Kerry to Return in Biden Administration as 'Climate Czar',"['climate change has become a vanity project for former politicians', 'biden is taking climate change seriously']",['feel happy'],['support this person'],3.0,real,misinfo,2020-11-23,breitbart,climate
"John Kerry, who signed Paris accord for US, is Biden's climate envoy","['kerry and biden are supporting climate change policies', 'the left of center party is making slow progress, but with many setbacks']",['feel happy'],['support kerry'],2.5,real,misinfo,2020-11-23,rawstory,climate
Climate crisis breaks open generational rifts in US families,"['there is a clear difference in environmental attitudes between age groups', 'young people will have to do all the work saving the planet']",['feel tired'],"[""old people don't care about the planet""]",3.5,real,misinfo,2020-11-02,theguardian,climate
Morano: Kerry as 'climate envoy' would solidify the COVID/Climate connection,"['the left-of-center party is actually claiming that the pandemic and the climate are causally linked', 'there is a real deal as environmental envoy']",['feel like applauding'],"[""read about john k.'s appointment""]",3.5,disagreement,misinfo,2020-11-29,climatedepot,climate
"Watch: Al Gore: 'This is the time for a Great Reset'  'This is a time for a reset to fix a bunch of challenges, first among them the climate crisis'",['the government needs to do more'],['feel interested'],['find out more'],4.5,real,misinfo,2020-12-01,climatedepot,climate
"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns","['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']",['feel concern for future'],['trapped'],4.5,real,misinfo,2020-12-02,theindependent,climate
Aussie Scientist Dr. Jennifer Marohasy on climate change: 'Better a question that cannot be answered than an answer that cannot be questioned',"[""people aren't allowed to go against prevailing climate change views."", 'freedom in thinking is important']",['feel confused'],['see the context of the statement'],4.5,real,misinfo,2020-11-03,climatedepot,climate
"Climate crisis driving 'rapid' transformation of Arctic into 'warmer, less frozen' wilderness","['the artic is on the verge of collapse', 'climate change making frozen areas warmer']","['feel afraid', 'feel worried']","['do more to fight climate change', 'see what can be done']",4.5,real,misinfo,2020-12-09,theindependent,climate
Biden to Make Combatting Climate Change an 'All-of-Government Agenda',"['the president cares about the environment', 'biden wants to fight climate change']","['feel supportive', 'feel reassured', 'feel skeptical']",['know what he is going to act on'],3.0,real,misinfo,2020-11-12,breitbart,climate
The stolen climate crisis babies: US politician jailed for selling children of mothers desperate to escape environmental catastrophe,['us politician jailed for illegal adoption ring'],"['feel fearful', 'feel upset', 'feel disgusted']",['share the article'],5.0,real,misinfo,2020-12-08,theindependent,climate
9 best recycling bins that help you do your bit for the environment,['certain recycling bins are better than others'],['feel like they need more information to process this'],['want to buy a new recycling bin'],1.5,disagreement,misinfo,2020-12-11,theindependent,climate
"Fmr. Obama advisor Lawrence H. Summers on COVID lockdown's impact: '$200,000 per family or 90% of a year's GDP'  '4x output loss of Great Recession, 2x cost of all wars since 9/11, & roughly cost of climate change in next 50 years'",['the policies during the pandemic have cost people a lot of money.'],"['feel informed', 'feel worried']","['learn more about this', 'save any money they have']",2.5,disagreement,misinfo,2020-11-29,climatedepot,climate
Environmental Lawyer Facing Rare Prosecution Says His Judge Is Biased,['unknown intent'],['feel interested'],['learn more'],3.0,real,real,2020-11-16,courthousenews,climate
Study: Reducing Greenhouse Gas Emissions Still Won't Stop Global Warming,['unknown intent'],['feel confused'],['read more and fact check this'],4.5,disagreement,real,2020-11-16,nationalinterest,climate
"Blue States Will Have to Lead the Climate Fight Under Biden, Too",['democrats are working for a better climate'],['feel curious'],['learn more'],3.5,real,real,2020-11-16,newrepublic,climate
