post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
"what is the war for the planet of the apes about? i don't know, but by the sounds of it, those damn niggers are starting wars again","[""black folks""]",This sentence communicates the stereotype that African Americans are violent and prone to starting wars,text-davinci-003,sbic,black people are crazy,human,niggers,flan-t5-xl,niggers,flan-t5-large,"[""black people are crazy"", ""black people are thugs"", ""black people are uncivilized"", ""black people are violent."", ""black people are/look like monkeys."", ""black people look like monkeys""]"
Why do they put cotton at the top of pill bottles? To remind blacks that they were cotten pickers before they were pill pushers.,"[""black folks""]",The stereotype that cotton is at the top of pill bottles is because it is a reminder to black people that they were cotton pickers before they became pill pushers,text-babbage-001,sbic,This sentence communicates the stereotype that black people were historically enslaved as cotton pickers,chatgpt,The sentence is sending a message that black people who were pickers before they were pill pushers are no longer welcome in society,text-ada-001,"Blacks are associated with cotton picking, which is a historically low-status job",text-davinci-001,"[""black folk sell drugs"", ""black folks pick cotton"", ""black people are cotton pickers"", ""black people sell drugs"", ""black people should be slaves"", ""blacks should be slaves again""]"
I got my son a trampoline but noooo he just sits in a wheelchair and complains.,"[""physically disabled folks""]",a group of people,flan-t5-small,sbic,The stereotype that this sentence communicates is that people in wheelchairs are lazy and do not like to have fun,text-davinci-001,disabled,flan-t5-xl,"The trampoline is not for children, and they should not use it for sitting in",text-ada-001,"[""can't do anything but sit"", ""just complain all the time"", ""people in wheelchairs can't enjoy trampolines"", ""people in wheelchairs complain too much""]"
"A male fellow philosophy student tells me:: Don't read <insert old, dead, iconic male philosopher here>, it wasn't written for you. (It wasn't written for women.) He also says, after a girl gives her interpretation of a reading:: This is what happens when you let women study philosophy.","[""women""]","The sentence communicates that women are not capable of understanding philosophy, and that they should not be studying it",text-curie-001,sbic,Men are assumed to be the only legitimate philosophers,text-davinci-003,[GROUP] are women.,flan-ul2,women are emotional,flan-t5-xxl,"[""women can't read books made for men"", ""women shouldn't study""]"
Why do Puerto Ricans hang the Puerto Rican flag in their car? So they dont steal from each other.,"[""Puerto Rican folks"", ""latino/latina folks"", ""puerto ricans""]",are thieves,baseline,sbic,Puerto Ricans,flan-t5-base,Puerto Ricans are known for being thieves,text-davinci-001,The Puerto Rican flag is often hung in cars to represent how the island is one of the few places in the Caribbean where this flag is not commonly seen,text-ada-001,"[""are criminals"", ""steal from others"", ""steal things"", ""they aren't trustworthy"", ""they steal""]"
What's Hitler's favorite breakfast beverage? Freshly squeezed orange jews.,"[""holocaust victims"", ""jewish folks""]",The stereotype that this sentence communicates is that the person in the group is a racist,text-babbage-001,sbic,Jews like orange juice,flan-ul2,This sentence communicates the stereotype that Jews are greedy and/or enjoy eating oranges,text-davinci-002,The stereotype communicated by this sentence is that Adolf Hitler was a fan of orange juice,text-curie-001,"[""jewish folks deserved the holocaust"", ""jewish folks deserved to die in the holocaust"", ""jewish folks were massacred in the holocaust"", ""jewish folks were the main victims of hitler's tyrrany"", ""trivializes harm to victims""]"
"You know what the KKK gets up to these days? Oh, just monkey business","[""black folks""]",are monkeys,human,sbic,"The KKK is known for their hate crimes against minorities, such as African Americans and Jews",text-curie-001,black folks are called monkey as a slur,human,black people aren't human,human,"[""are animals"", ""are monkeys"", ""black folks are called monkey as a slur"", ""black folks are less than human"", ""black people are monkeys"", ""black people aren't human""]"
Any nicca gettin it n da ass is a fag! &#8220;@CruellaDeTrill: Howw? Please explain this twitter logic. I'm confused. &#128553; @Im_Yung_Jay @YuTwatching&#8221;,"[""gay men""]",a group of people,flan-t5-small,sbic,gay men have a sexual type,human,gay men only do anal.,human,Any nicca gettin it n da ass is a fag!,flan-t5-xl,"[""gay men have a sexual type"", ""gay men only do anal.""]"
"Has to be a parody account. @TheHout I'm not sexist, but women just shouldn't be sports announcers.","[""women""]",This sentence communicates the stereotype that women are not as good as men at sports,text-davinci-002,sbic,sexist,flan-t5-small,women,flan-t5-base,women are sexist,baseline,"[""don't know anything about sports"", ""should not involve themselves with sports"", ""women aren't as smart as men"", ""women aren't equal to men"", ""women cant do some jobs"", ""women shouldn't be involved in sports""]"
What is the similarity between a women and a remote? They will work if u hit them,"[""assault victims"", ""women""]",The similarity between a women and a remote is that they will work if you hit them,text-babbage-001,sbic,women,flan-t5-large,women are not equal,human,women are objects,human,"[""abusing women is funny"", ""it's ok to hit women"", ""women are lazy, you should abuse them"", ""women are not equal"", ""women are objects"", ""women deserve to be beat"", ""women won't work unless you abuse them""]"
"Whats white about a black person? The feet, the palms and the owner","[""black folks""]",This sentence communicates the stereotype that black people are dirty,text-davinci-002,sbic,black people,flan-t5-small,black,flan-t5-base,black folks are inferior,baseline,"[""black people are property of others."", ""black people are slaves."", ""blacks are slave"", ""blacks are subhuman"", ""it takes a shot at african americans over slavery in the 1800's"", ""it takes a shot at the color of their skin""]"
What do brick sidewalks and fat women have in common They both get laid by mexicans,"[""latino/latina folks"", ""overweight/fat folks"", ""women""]",women hold no value,human,sbic,Mexicans are stereotyped as being attracted to and willing to have sex with overweight women and that they are also associated with manual labor jobs such as laying brick sidewalks,chatgpt,fat,flan-ul2,"This sentence communicates the stereotype that Mexicans are promiscuous and will engage in sexual activities with anyone, regardless of their physical appearance",text-davinci-003,"[""mexican's are only good for hard labor"", ""mexican's only do work that pays under the table"", ""obese people are less"", ""women are as fat as sidewalks"", ""women are for walking all over"", ""women are sex objects"", ""women hold no value""]"
I got my son a trampoline but noooo he just sits in a wheelchair and complains.,"[""physically disabled folks""]",disabled,flan-t5-xxl,sbic,people in wheelchairs can't enjoy trampolines,human,just complain all the time,human,can't do anything but sit,human,"[""can't do anything but sit"", ""just complain all the time"", ""people in wheelchairs can't enjoy trampolines"", ""people in wheelchairs complain too much""]"
