Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
jod biden made a climate agenda,Biden's climate agenda is misleading,,human,chatgpt,,mrf,Joe Biden's climate agenda is all about creating a crisis  not actually fixing one,misinfo,"['jod biden made a climate agenda', 'governments are creating hysteria regarding climate change']",,
'we are going to have to make a deal to get the climate bill passed',government is actively involved in climate change policies,The implied message of the headline is that Rep,baseline,human,text-davinci-003,mrf,Wasserman Schultz makes climate pitch in Appropriations gavel bid,real,"['government is actively involved in climate change policies', 'schultz cares about climate change']",,
Climate change causes ice storm in Russia's Far East,Climate change is having real consequences,ice storm in russia is linked to climate change,chatgpt,text-davinci-003,human,mrf,Ice Storm in Russia's Far East Linked to Climate Change,real,['ice storm in russia is linked to climate change'],'ice storms in the far east are linked to climate change',baseline
Climate change is a priority for the new administration,a new office has been created for climate change,,chatgpt,human,,mrf,John Kerry Tapped For Newly Created Role As Presidential Climate Envoy,real,['a new office has been created for climate change'],,
destroying the environment is higher than ever,The environment is at risk,'deforestation of the amazon rainforest surges to 12-year high,human,text-davinci-003,baseline,mrf,"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",real,['destroying the environment is higher than ever'],,
the covid-19 vaccine is dangerous.,False information,,human,chatgpt,,mrf,Nurse Tiffany Dover died after getting COVID-19 vaccine.,misinfo,"['the covid-19 vaccine is dangerous.', ""the covid-19 vaccine wasn't adequately tested for safety.""]",,
Vaccine storage at -80 degrees is concerning,covid-19 vaccine is not trustworthy,,chatgpt,human,,mrf,"A vaccine ""stored at -80 degrees isn't a vaccine"" and is instead a ""living transfection agent"" that will cause ""genetic manipulation""",misinfo,['covid-19 vaccine is not trustworthy'],,
'one-third of UK's fruit and vegetables imported from countries at risk from climate change - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study - study,Climate change threatens UK's imported produce,a third of uk's produce comes from countries affected by climate change,baseline,chatgpt,human,mrf,One-third of UK's fruit and vegetables imported from countries at threat from climate change - study,real,"[""a third of uk's produce comes from countries affected by climate change""]",The implied message is: Climate change is a serious threat,text-davinci-003
"'the coronavirus vaccine will cause other more serious diseases to emerge,' 'the coronavirus vaccine will cause other more serious diseases to emerge'",vaccines have major side effects for future generations.,Vaccines may have unintended consequences,baseline,human,text-davinci-003,mrf,"The coronavirus vaccine will cause other more serious diseases to emerge, said Anthony Fauci.",misinfo,"['vaccines have major side effects for future generations.', 'what we are seeing with covid is only the beginning of a long dilemma', 'u.s. government medical experts are stating that the new vaccine is not exactly safe.', 'vaccine may do more damage down the road.', 'the covid-19 vaccines will have undesirable side-effects', 'the vaccine for covid will cause other diseases to show up']",,
The implied message is: Take action now,'climate crisis is a global crisis',people are the reason for warming,text-davinci-003,baseline,human,mrf,"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns",misinfo,"['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']",,
you can win money on facebook if you have lost a family member and live in africa,'the world's richest man is running a giveaway for money,"""Giving back to those in need",human,baseline,text-davinci-003,mrf,"Africa's richest man, Aliko Dangote, running a Facebook giveaway for money, food and other assistance to 10,000 youths who have lost loved ones to the COVID-19 pandemic.",misinfo,"['you can win money on facebook if you have lost a family member and live in africa', 'many youngsters in africa are suffering the loss of their families.', 'many youths in africa have lost their parents or guardians']",,
'covid-19 was imaginary and fictitious',an ivy league professor actually believes covid is fake,"The implied message is ""question the accuracy of information""",baseline,human,text-davinci-003,mrf,"Cornell University professor Robert Oswald said ""COVID-19 was imaginary and fictitious.""",misinfo,['an ivy league professor actually believes covid is fake'],,
change can be curbed in the future,Take action now,'uk promises to cut greenhouse gas emissions two-thirds by 2030',human,text-davinci-003,baseline,mrf,UK promises to cut greenhouse gas emissions two-thirds by 2030,real,"['change can be curbed in the future', 'the government can cut green house gases', 'green house gas emmisions can be cut by 2030']",,
'government begins sending $600 COVID-19 stimulus payments to millions in U.S.,the people in the country need stimulus money to get by,The government is providing financial relief,baseline,human,text-davinci-003,mrf,Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,real,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]",,
covid-19 was created,"""Relevance of old literature to current events",,human,chatgpt,,mrf,"Pandemic scenario was written in 1941 in ""The Devil's Letters to His Nephew"" by Clive Lewis.",misinfo,['covid-19 was created'],,
there are things we can do to fight climate change,Taking action is necessary,'climate change experts',human,text-davinci-003,baseline,mrf,Panel explores solutions to combat climate crisis,real,['there are things we can do to fight climate change'],,
