Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
Some masks are better than others,nature ingredients will make someone less susceptible to covid.,a lot of people are struggling with loss of taste and smell after covid.,eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection,text-curie-001,human,human,human,mrf,Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,misinfo,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']"
Brexit is a bad thing,'the EU is a 'we are not talking about climate change',iraqi leader,Some deals are better than no deal,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,EU leaders pull all-nighter discussing climate change as Brexit forgotten,misinfo,['leaders in eu stay up all night talking about climate change']
'covid-19 and AIDS are biological weapons created in the same labs',The Pentagon was creating biological weapons to target specific populations,Some masks are better than others,Some people might think that the Pentagon was purposely creating AIDS as a weapon against the Russian population,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,COVID-19 and AIDS are biological weapons created in the same military biological labs and both viruses were made intentionally to destroy the population and the army of an adversary. The Pentagon was collecting biological samples from Russians as well as different ethnic groups and people of the former Soviet Union living in different geographical locations of the Russian Federation.,misinfo,"['governments are engaged in secrete biological weapons programs.', 'what we think are naturally occurring viruses are actually biological weapons']"
'It's not a good idea to be a 'familiar',Some masks are better than others,Some actions are better than others,"The implication is that the green plan of Boris Johnson, which is based on the idea of ""100% renewable energy,"" is inadequate and that the hiring of a fossil fuel ally, such as Joe Biden, is a mistake",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Climate crisis - live: Boris Johnson's green plan 'inadequate' and Biden under fire for hiring fossil fuel ally,misinfo,"['politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries']"
Biden's victory will be a resounding victory,Some masks are better than others,The implied message of the headline is that climate change is a high priority issue for the Biden campaign,Some people believe that some masks are better than others when it comes to protecting people from the effects of climate change,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,real,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]"
"""Some masks are better than others",people can expect lower emissions coming out of the the uk,emission from the uk will be decreased by 68% in the future,The world is going to be a better place.,text-ada-001,human,human,flan-t5-base,mrf,Boris Johnson announces new climate target to cut emissions by 68% before 2030,real,"['people can expect lower emissions coming out of the the uk', 'emission from the uk will be decreased by 68% in the future', 'boris johnson has decided to take a stance against climate change']"
Some masks are better than others,Some masks are better than others,The cost of climate change is high,The implication of this news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Climate catastrophes cost nations billions in 2020, report finds",misinfo,['climate change leads to disasters that people cannot afford']
Climate levels are a factor in the loss of biodiversity.,The implication of the news headline is that carbon capture and storage (CCS) technologies are better than other technologies for controlling climate change,Some masks are better than others,climate change is a threat,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,"Carbon Capture, Climate Levels Trigger Earlier Shedding of Leaves",real,"['climate change is causing leaves to fall earlier', 'climate levels cause earlier shedding of leaves']"
Some masks are better than others,some masks are better than others,Some masks are better than others,"Some fertilizer companies are supporting the efforts of other companies to reduce their carbon footprints, while others are not",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Nutrien calls on other fertilizer companies to support its agriculture climate change drive,real,"['many companies are doing what they can to help', 'nutrien cares about climate change']"
Some masks are better than others when it comes to fighting climate change,biden could fight climate change by use executive powers,there is no room for compromise on environmental policy,The president is a liar.,text-ada-001,human,human,flan-t5-base,mrf,How Biden Could Use Executive Powers to Fight Climate Change,real,"['biden could fight climate change by use executive powers', 'there is no room for compromise on environmental policy', ""only one of america's two major parties takes the environment seriously""]"
Some people are a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be ,Some masks are better than others when it comes to climate change,"The implied message of the headline is ""Act Now on Climate Change""","Biden can try to get the US to sign the Paris Agreement, which would help to reduce emissions",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,What Biden Can Do About Climate Change,real,['biden is expected to state his plans soon']
